molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
1,1432.675386,6.075e-28,0.7933,0.0345,0.34,0.298,5,3,4,2,2,1387,1380,1232,1411,817
1,1432.735458,6.278e-29,0.3398,0.0442,0.42,0.265,5,3,4,3,2,1387,1380,1232,1411,817
1,1432.773399,1.149e-30,0.08952,0.0649,0.59,0.352,4,3,2,3,2,1387,1380,1232,1411,817
1,1433.030607,8.212e-28,0.0002102,0.0542,0.55,0.298,5,7,4,2,2,1387,1380,1419,1413,817
1,1433.082054,3.054e-26,16.77,0.0942,0.72,0.434,4,6,4,2,4,1387,1380,1232,1411,817
1,1433.099227,1.95e-28,0.005148,0.0755,0.66,0.333,5,3,4,3,2,1387,1380,1232,1411,817
1,1433.186179,1.626e-30,0.005824,0.1065,0.76,0.456,4,3,2,3,2,1387,1380,1232,1411,817
1,1433.20333,4.698e-21,4.239,0.0465,0.41,0.274,5,7,8,2,4,15,1380,1415,1415,52
1,1433.521227,3.438e-29,0.001061,0.0581,0.62,0.235,4,3,4,3,4,1387,1380,1419,1413,817
1,1433.608679,6.653e-22,0.1296,0.0939,0.71,0.44,5,7,8,2,5,15,1380,1415,1415,52
1,1433.698726,2.656e-30,1.473,0.0913,0.73,0.391,4,3,2,3,2,1387,1380,1232,1411,817
1,1434.207128,1.722e-28,48.66,0.1055,0.76,0.48,4,3,4,4,2,1387,1380,1232,1411,817
1,1434.293782,2.375e-30,0.02168,0.0812,0.69,0.352,4,3,2,3,2,1387,1380,1232,1411,817
1,1434.347327,2.164e-29,0.05683,0.0969,0.74,0.434,4,3,4,5,2,1387,1380,1232,1411,817
1,1434.457797,5.098e-30,36.11,0.0743,0.65,0.265,4,3,4,3,2,1387,1380,1232,1411,817
1,1434.48241,1.502e-27,22.44,0.0341,0.31,0.235,4,3,4,2,2,1387,1380,1232,1411,817
