molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
7,1.92174575,1.081e-25,7.637e-10,0.0431,0.72,0.044,8,4,6,2,6,1179,855,858,876,865
7,1.92555573,5.681e-29,7.682e-10,0.0431,0.72,0.044,7,4,6,2,6,1179,855,858,876,865
7,1.94547524,1.224e-25,7.902e-10,0.0444,0.72,0.045,8,4,6,2,6,1179,855,858,876,865
7,1.94912887,6.411e-29,7.948e-10,0.0444,0.72,0.045,7,4,6,2,6,1179,855,858,876,865
7,1.94956857,7.543e-26,7.682e-10,0.0514,0.72,0.052,8,4,6,2,6,1179,855,858,876,865
7,1.9563828,3.939e-29,7.761e-10,0.0514,0.72,0.052,7,4,6,2,6,1179,855,858,876,865
7,1.97350558,1.255e-25,8.21e-10,0.046,0.72,0.046,8,4,6,2,6,1179,855,858,876,865
7,1.97688568,6.553e-29,8.251e-10,0.046,0.72,0.046,8,4,6,2,6,1179,855,858,876,865
7,1.98774146,1.113e-25,8.339e-10,0.0481,0.72,0.048,8,4,6,2,6,1179,855,858,876,865
7,1.99401181,5.819e-29,8.421e-10,0.0481,0.72,0.048,7,4,6,2,6,1179,855,858,876,865
7,2.01159371,1.133e-25,8.59e-10,0.0481,0.72,0.048,8,4,6,2,6,1179,855,858,876,865
7,2.01442346,5.902e-29,8.628e-10,0.0481,0.72,0.048,7,4,6,2,6,1179,855,858,876,865
7,2.01588742,1.313e-25,8.773e-10,0.046,0.72,0.046,8,4,6,2,6,1179,855,858,876,865
7,2.02189305,6.872e-29,8.849e-10,0.046,0.72,0.046,7,4,6,2,6,1179,855,858,876,865
7,2.03976339,1.348e-25,9.123e-10,0.0444,0.72,0.045,8,4,6,2,6,1179,855,858,876,865
7,2.04562384,7.072e-29,9.199e-10,0.0444,0.72,0.045,7,4,6,2,6,1179,855,858,876,865
7,2.06143155,1.245e-25,9.431e-10,0.0431,0.72,0.044,8,4,6,2,6,1179,855,858,876,865
7,2.06720936,6.554e-29,9.511e-10,0.0431,0.72,0.044,7,4,6,2,6,1179,855,858,876,865
7,2.08181435,1.053e-25,9.728e-10,0.0417,0.72,0.043,8,4,6,2,6,1179,855,858,876,865
7,2.08431726,8.404e-26,9.147e-10,0.0514,0.72,0.052,8,4,6,2,6,1179,855,858,876,865
7,2.08563181,4.362e-29,9.159e-10,0.0514,0.72,0.052,7,4,6,2,6,1179,855,858,876,865
7,2.08754664,5.563e-29,9.807e-10,0.0417,0.72,0.043,7,4,6,2,6,1179,855,858,876,865
7,2.10138662,8.223e-26,1.001e-09,0.0404,0.72,0.042,8,4,6,2,6,1179,855,858,876,865
7,2.10709739,4.364e-29,1.009e-09,0.0404,0.72,0.042,7,4,6,2,6,1179,855,858,876,865
7,2.12041779,5.969e-26,1.029e-09,0.0389,0.72,0.041,8,4,6,2,6,1179,855,858,876,865
7,2.12612365,3.184e-29,1.038e-09,0.0389,0.72,0.041,7,4,6,2,6,1179,855,858,876,865
7,2.13907226,4.042e-26,1.057e-09,0.037,0.72,0.04,8,4,6,2,6,1179,855,858,876,865
7,2.14478529,2.168e-29,1.065e-09,0.037,0.72,0.04,7,4,6,2,6,1179,855,858,876,865
7,2.1574561,2.561e-26,1.085e-09,0.0356,0.72,0.039,8,4,2,2,6,1179,855,858,876,865
7,2.16318546,1.382e-29,1.093e-09,0.0356,0.72,0.039,7,4,2,2,6,1179,855,858,876,865
7,2.17564084,1.521e-26,1.112e-09,0.0354,0.72,0.038,8,4,2,2,6,1179,855,858,876,865
7,2.18139376,8.269e-30,1.121e-09,0.0354,0.72,0.038,7,4,2,2,6,1179,855,858,876,865
7,2.19367658,8.487e-27,1.141e-09,0.0352,0.72,0.037,8,4,2,2,6,1179,855,858,876,865
7,2.19945889,4.648e-30,1.15e-09,0.0352,0.72,0.037,7,4,2,2,6,1179,855,858,876,865
7,2.21159948,4.452e-27,1.169e-09,0.035,0.72,0.036,8,4,2,2,5,1179,855,858,876,865
7,2.21741604,2.458e-30,1.178e-09,0.035,0.72,0.036,7,4,2,2,5,1179,855,858,876,865
7,2.22943631,2.198e-27,1.198e-09,0.0348,0.72,0.035,7,4,2,2,5,1179,855,858,876,865
7,2.23529128,1.224e-30,1.207e-09,0.0348,0.72,0.035,7,4,2,2,5,1179,855,858,876,865
7,2.24720742,1.022e-27,1.227e-09,0.0347,0.72,0.034,7,4,2,2,5,1179,855,858,876,865
7,2.25310436,5.746e-31,1.236e-09,0.0347,0.72,0.034,7,4,2,2,5,1179,855,858,876,865
7,2.26492852,4.481e-28,1.256e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.27087061,2.544e-31,1.266e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.282612,1.853e-28,1.286e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.28860209,1.063e-31,1.295e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.3002678,7.232e-29,1.316e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.31790399,2.666e-29,1.346e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.33552724,9.282e-30,1.377e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.35314312,3.055e-30,1.409e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.37075637,9.506e-31,1.441e-09,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,2.38837101,2.798e-31,1.473e-09,0.0346,0.72,0.034,6,4,2,2,2,1179,855,858,876,865
7,2.40599058,7.794e-32,1.506e-09,0.0346,0.72,0.034,6,4,2,2,2,1179,855,858,876,865
7,3.96108524,1e-25,4.48e-09,0.057,0.97,0.057,8,4,6,2,6,1179,855,858,876,865
7,3.97072335,5.209e-29,4.514e-09,0.057,0.97,0.057,7,4,6,2,6,1179,855,858,876,865
7,12.1323628,1.153e-29,1.905e-09,0.0558,0.72,0.057,6,4,6,2,6,1179,855,857,876,874
7,12.2917785,2.223e-26,1.929e-09,0.0558,0.72,0.057,7,4,6,2,6,1179,855,857,876,874
7,14.0174792,1.264e-28,2.401e-08,0.056,0.72,0.056,6,4,6,2,6,1179,855,874,876,874
7,14.1685696,2.425e-25,2.414e-08,0.056,0.72,0.056,7,4,6,2,6,1179,855,874,876,874
7,16.103111,5.416e-29,8.485e-09,0.0544,0.72,0.053,6,4,6,2,6,1179,855,874,876,874
7,16.2528868,1.036e-25,8.493e-09,0.0544,0.72,0.053,7,4,6,2,6,1179,855,874,876,874
7,23.5755268,3.266e-29,6.414e-09,0.0526,0.72,0.053,6,4,6,2,6,1179,855,857,876,874
7,23.862939,6.275e-26,6.474e-09,0.0526,0.72,0.053,7,4,6,2,6,1179,855,857,876,874
